"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",ajv:6.10.2,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?ajv,"","","","",pkg:npm/ajv@6.10.2,"",CVE-2020-15366,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2020-15366 for details",OSSINDEX,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",ajv:6.10.2,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?ajv,"","","","",pkg:npm/ajv@6.10.2,"",GHSA-v88g-cgmw-v5xw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-915 Improperly Controlled Modification of Dynamically-Determined Object Attributes","An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",NPM,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",debug:3.2.6,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?debug,"","","","",pkg:npm/debug@3.2.6,"",GHSA-gxpj-cx7g-858c,CWE-400 Uncontrolled Resource Consumption,"Affected versions of `debug` are vulnerable to regular expression denial of service when untrusted user input is passed into the `o` formatter.   As it takes 50,000 characters to block the event loop for 2 seconds, this issue is a low severity issue.  This was later re-introduced in version v3.2.0, and then repatched in versions 3.2.7 and 4.3.1.  ## Recommendation  Version 2.x.x: Update to version 2.6.9 or later. Version 3.1.x: Update to version 3.1.0 or later. Version 3.2.x: Update to version 3.2.7 or later. Version 4.x.x: Update to version 4.3.1 or later.",NPM,"","","",LOW,3.700000047683716,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",debug:4.1.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?debug,"","","","",pkg:npm/debug@4.1.1,"",GHSA-gxpj-cx7g-858c,CWE-400 Uncontrolled Resource Consumption,"Affected versions of `debug` are vulnerable to regular expression denial of service when untrusted user input is passed into the `o` formatter.   As it takes 50,000 characters to block the event loop for 2 seconds, this issue is a low severity issue.  This was later re-introduced in version v3.2.0, and then repatched in versions 3.2.7 and 4.3.1.  ## Recommendation  Version 2.x.x: Update to version 2.6.9 or later. Version 3.1.x: Update to version 3.1.0 or later. Version 3.2.x: Update to version 3.2.7 or later. Version 4.x.x: Update to version 4.3.1 or later.",NPM,"","","",LOW,3.700000047683716,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",getobject:0.1.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?getobject,"","","","",pkg:npm/getobject@0.1.0,"",CVE-2020-28282,CWE-Other,Prototype pollution vulnerability in 'getobject' version 0.1.0 allows an attacker to cause a denial of service and may lead to remote code execution.,OSSINDEX,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",getobject:0.1.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?getobject,"","","","",pkg:npm/getobject@0.1.0,"",GHSA-957j-59c2-j692,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Prototype pollution vulnerability in 'getobject' version 0.1.0 allows an attacker to cause a denial of service and may lead to remote code execution.,NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",grunt:1.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",CVE-2020-7729,CWE-94 Improper Control of Generation of Code ('Code Injection'),"grunt - [ CVE-2020-7729 ] Code Injection via unsafe `YAML.load()` functionality  The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment.",OSSINDEX,"","","",HIGH,7.099999904632568,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",grunt:1.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",GHSA-m5pj-vjjf-4m3h,CWE-1188 Insecure Default Initialization of Resource,The package grunt before 1.3.0 are vulnerable to Arbitrary Code Execution due to the default usage of the function load() instead of its secure replacement safeLoad() of the package js-yaml inside grunt.file.readYAML.,NPM,"","","",HIGH,7.099999904632568,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",grunt:1.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",CVE-2022-1537,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,file.copy operations in GruntJS are vulnerable to a TOCTOU race condition leading to arbitrary file write in GitHub repository gruntjs/grunt prior to 1.5.3. This vulnerability is capable of arbitrary file writes which can lead to local privilege escalation to the GruntJS user if a lower-privileged user has write access to both source and destination directories as the lower-privileged user can create a symlink to the GruntJS user's .bashrc file or replace /etc/shadow file if the GruntJS user is root.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-1537 for details,OSSINDEX,"","","",HIGH,7.0,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: /home/phloem/Workspace/Uni/5sem/tbo/2lab/Java/spring-thymeleaf-crud-example,"Mon, 25 Nov 2024 20:33:02 GMT",grunt:1.0.4,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",GHSA-rm36-94g8-835r,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,file.copy operations in GruntJS are vulnerable to a TOCTOU race condition leading to arbitrary file write in GitHub repository gruntjs/grunt prior to 1.5.3. This vulnerability is capable of arbitrary file writes which can lead to local privilege escalation to the GruntJS user if a lower-privileged user has write access to both source and destination directories as the lower-privileged user can create a symlink to the GruntJS user's .bashrc file or replace /etc/shadow file if the GruntJS user is root.,NPM,"","","",HIGH,7.0,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
